Project,Organization,github,Version,
pv-terms,DuraMAT,https://github.com/DuraMAT/pv-terms,0.1.1,
Category,Parameter,Dimensions,Description,Deprecated
Abbreviations,ac,,alternating current,
Abbreviations,aod,,aerosol optical depth,
Abbreviations,aoi,,angle of incidence,
Abbreviations,coeff,,coefficient,
Abbreviations,dc,,direct current,
Abbreviations,dhi,,diffuse horizontal irradiance,
Abbreviations,dni,,direct normal irradiance,
Abbreviations,ghi,,global horizontal irradiance,
Abbreviations,imp,,current at maximum power,
Abbreviations,inv,,inverter,
Abbreviations,isc,,current at short circuit,
Abbreviations,max,,maximum,
Abbreviations,min,,minimum,
Abbreviations,mp,,maximum power,
Abbreviations,mpp,,maximum power point,
Abbreviations,mppt,,maximum power point tracking,
Abbreviations,noct,,nominal operating cell temperature,
Abbreviations,num,,number,
Abbreviations,oc,,open circuit,
Abbreviations,pmp,,power at maximum power,
Abbreviations,poa,,plane of array (irradiance),
Abbreviations,ref,,reference,
Abbreviations,sc,,short circuit,
Abbreviations,stc,,standard test conditions,
Abbreviations,vmp,,voltage at maximum power,
Abbreviations,voc,,voltage at open circuit,
Abbreviations,toa,,top of atmosphere,
AC Output unlisted,current_ac_b,A,Root-mean-squared AC current on phase b of a three phase inverter.,
AC Output unlisted,current_ac_c,A,Root-mean-squared AC current on phase c of a three phase inverter.,
AC Output unlisted,frequency_b,Hz,AC frequency on phase b.,
AC Output unlisted,frequency_c,Hz,AC frequency on phase c.,
AC Output unlisted,power_ac_b,W,Cycle-averaged AC power on phase b of a three phase inverter.,
AC Output unlisted,power_ac_c,W,Cycle-averaged AC power on phase c of a three phase inverter.,
AC Output unlisted,power_factor_b,dimensionless,Power factor on phase b of a three phase inverter.,
AC Output unlisted,power_factor_c,dimensionless,Power factor on phase c of a three phase inverter.,
AC Output unlisted,power_real_b,W,Cycle-averaged AC power on phase b.,
AC Output unlisted,power_real_c,W,Cycle-averaged AC power on phase c.,
AC Output unlisted,voltage_ac_b,V,Root-mean-squared AC voltage on phase b of a three phase inverter.,
AC Output unlisted,voltage_ac_c,V,Root-mean-squared AC voltage on phase c of a three phase inverter.,
AC Output,current_ac,A,Root-mean-squared AC current on a single phase inverter.,
AC Output,current_ac_a,A,Root-mean-squared AC current on phase a of a three phase inverter. Use _b or _c for the other phases.,
AC Output,energy_apparent,kWh,Integral of apperent power over time.,
AC Output,energy_reactive,kWh,Integral of reactive power over time.,
AC Output,energy_real,kWh,Integral of real power over time.,
AC Output,frequency,Hz,AC frequency.,
AC Output,frequency_a,Hz,"AC frequency on phase a. Use _b, _c for other phases.",
AC Output,power_ac,W,Cycle-averaged AC power on a single phase inverter.,
AC Output,power_ac_a,W,Cycle-averaged AC power on phase a of a three phase inverter.  Use _b or _c for the other phases.,
AC Output,power_apparent,VA,Cycle-averaged AC apparent power.,
AC Output,power_factor,dimensionless,Power factor.,
AC Output,power_factor_a,dimensionless,Power factor on phase a of a three phase inverter.  Use _b or _c for the other phases.,
AC Output,power_reactive,VAR,Cycle-averaged reactive power.,
AC Output,power_real,W,Cycle-averaged AC power.,
AC Output,power_real_a,W,Cycle-averaged AC power on phase a.,
AC Output,voltage_ac,V,Root-mean-squared AC voltage on a single phase inverter.,
AC Output,voltage_ac_a,V,Root-mean-squared AC voltage on phase a of a three phase inverter. Use _b or _c for the other phases.,
Atmosphere,absolute_humidity,kg/m^3,Mass of water vapor per volume of air.,
Atmosphere,airmass,dimensionless,airmass,
Atmosphere,airmass_absolute,dimensionless,absolute airmass,
Atmosphere,airmass_relative,dimensionless,relative airmass,
Atmosphere,dew_point,°C,Dewpoint temperature.,
Atmosphere,relative_humidity,dimensionless,"The ratio of the partial pressure of water vapor to the equilibrium vapor pressure of water at a given temperature, unitless.",
Atmosphere,specific_humidity,dimensionless,The ratio of the mass of water vapor to the total mass of moist air.,
Atmosphere,total_precipitable_water,mm,"Depth of water in a column of the atmosphere, if all the water in that column were precipitated as rain.",
Atmosphere,wind_direction,degrees,"Direction of origin of wind. The wind azimuth convention is defined as degrees east of north (e.g. North=0, South=180, East=90, West=270).",
Atmosphere,wind_speed,m/s,Wind speed measured at standard 10 meter height.,
DC Output,current_dc,A,DC current.,
DC Output,energy_dc,kWh,DC energy.,
DC Output,imp,A,Current at the maximum power point.,i_mp
DC Output,isc,A,Short circuit current.,i_sc
DC Output,pmp,W,Power at the maximum power point.,p_mp
DC Output,power_dc,W,DC power.,
DC Output,vmp,V,Voltage at the maximum power point.,v_mp
DC Output,voc,V,Open circuit voltage.,v_oc
DC Output,voltage_dc,V,DC voltage.,
Inverter,current_ac_inv_max,A,Maximum inverter AC output current.,
Inverter,current_inv_dc_max,A,Maximum inverter DC input current.,
Inverter,efficiency_inverter,dimensionless,Inverter efficiency. Real AC power out divided by DC power in.,
Inverter,efficiency_inverter_cec,dimensionless,Nominal inverter efficiency using CEC standard.,
Inverter,efficiency_inverter_eu,dimensionless,Nominal inverter efficiency using European standard.,
Inverter,num_mppt_circuits,dimensionless,Number of MPPT circuits.,
Inverter,power_inv_ac_max,W,Maximum inverter AC output power.,
Inverter,temperature_inv_operate_max,°C,Maximum inverter operating temperature.,
Inverter,temperature_inv_operate_min,°C,Minimum inverter operating temperature.,
Inverter,total_harmonic_distortion_max,dimensionless,Maximum total harmonic distortion of inverter AC output.,
Inverter,voltage_inv_ac_max,V,Maximum inverter AC output voltage.,
Inverter,voltage_inv_ac_min,V,"Minimum inverter AC ouptut voltage, in volts",
Inverter,voltage_inv_ac_nominal,V,Nominal inverter AC output voltage.,
Inverter,voltage_inv_dc_max,V,Maximum inverter dc input voltage.,
Inverter,voltage_inv_mppt_min,V,Minimum array voltage for inverter to engage maximum power point tracking.,
Inverter,voltage_inv_start_min,V,"Minimum inverter input DC voltage to start operation, also called the inverter start voltage.",
Inverter,voltage_mppt_max,V,Maximum array voltage for inverter to engage maximum power point tracking.,
Irradiance,dhi,W/m^2,Diffuse horizontal irradiance.,
Irradiance,dni,W/m^2,Direct normal irradiance; irradiance taken on a plane normal to direction of the sun.,
Irradiance,dni_toa,W/m^2,Direct normal irradiance at the top of the atmosphere; dni if the atmosphere did not exist. Also sometimes called extraterrestrial irradiance.,
Irradiance,effective_irradiance,W/m^2,"Irradiance reaching the module's cells, i.e., in the plane of array, reduced by soiling and reflections, adjusted for spectrum.",
Irradiance,ghi,W/m^2,Global horizontal irradiance.,
Irradiance,ghi_toa,W/m^2,Global horizontal irradiance at the top of the atmosphere; ghi as if the atmosphere did not exist.,
Irradiance,poa_toa,W/m^2, Plane-of-array irradiance if the atmosphere did not exist.,
Irradiance,poa_diffuse,W/m^2,Total diffuse irradiation in plane. sum of ground and sky diffuse.,
Irradiance,poa_direct,W/m^2,Direct/beam irradiation in plane.,
Irradiance,poa_global,W/m^2,Global irradiation in plane. sum of diffuse and beam projection.,
Irradiance,poa_ground_diffuse,W/m^2,In plane ground reflected irradiation,gti
Irradiance,poa_sky_diffuse,W/m^2,"Diffuse irradiation in plane from scattered light in the atmosphere (without ground reflected irradiation)",
Irradiance,kTh,dimensionless,"Horizontal clearness index, kTh = ghi/ghi_toa ",
Irradiance,kTn,dimensionless,"Normal clearness index, kTn = dni/dni_toa ",
Irradiance,beam_fraction,dimensionless,"Fraction of irradiance in beam component, beam_fraction = 1 - poa_diffuse/poa",
Irradiance,diffuse_fraction,dimensionless,"Fraction of irradiance in diffuse component, beam_fraction = poa_diffuse/poa ",
Location,albedo,dimensionless,Ground reflectance between 0 and 1.,
Location,elevation,m,Elevation of system above sea level.,
Location,latitude,degrees,Latitude between -90 and 90 degrees. Positive north of the equator.,
Location,longitude,degrees,Longitude between -180 to 180 degrees. Positive east of the meridian.,
Location,pressure,Pa,Atmospheric pressure at ground level.,
Location,tz,,timezone,
Module Parameters,alpha_imp,A/°C,Temperature coefficient of current at maximum power point and reference conditions.,
Module Parameters,alpha_isc,A/°C,The temperature coefficient of short-circuit current at reference conditions.,alpha_sc
Module Parameters,alpha_isc_norm,1/°C,alpha_isc/isc_ref. The temperature coefficient of short-circuit current at reference conditions divided by the short-circuit current at reference conditions.,
Module Parameters,band_gap_ref,eV,"Energy bandgap at reference temperature. 1.121 eV for crystalline silicon. EgRef must be >0. For parameters from the SAM CEC module database, EgRef=1.121 is implicit for all cell types in the parameter estimation algorithm used by NREL.","Egref,Eg_ref"
Module Parameters,band_gap_temperature_coeff,1/K,The temperature dependence of the energy bandgap at reference conditions in units of 1/K.,
Module Parameters,beta_vmp,V/°C,Temperature coefficient of voltage at maximum power point and reference conditions.,
